seed,model,noise_type,level,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
43,vit_small_patch16_224,mask_centre,0.0,0.6783333333333333,0.6103542234332425,0.595,0.812933025404157,0.7212868,0.61247444
43,vit_small_patch16_224,mask_centre,0.3,0.67,0.6074498567335244,0.5789473684210527,0.7898089171974523,0.7162362,0.6170118
43,vit_small_patch16_224,mask_centre,0.5,0.6583333333333333,0.6532663316582915,0.4840764331210191,0.7745901639344263,0.6781729,0.589331
43,vit_small_patch16_224,mask_centre,0.7,0.6366666666666667,0.5252525252525253,0.5707196029776674,0.756,0.66184044,0.5880214
43,vit_small_patch16_224,mask_edge,1.0,0.6783333333333333,0.6103542234332425,0.595,0.812933025404157,0.7212868,0.61247444
43,vit_small_patch16_224,mask_edge,0.7,0.6533333333333333,0.565597667638484,0.5639686684073107,0.7890295358649789,0.69598794,0.59305346
43,vit_small_patch16_224,mask_edge,0.5,0.6216666666666667,0.5209003215434084,0.5546666666666666,0.7315175097276264,0.62072486,0.5451609
43,vit_small_patch16_224,mask_edge,0.3,0.5116666666666667,0.46846846846846846,0.38461538461538464,0.6602870813397129,0.43036306,0.40562117
44,resnet50,blur,0.0,0.6883333333333334,0.6469002695417789,0.5994694960212201,0.7964601769911505,0.68474275,0.57695156
44,resnet50,blur,1.0,0.6183333333333333,0.5970149253731343,0.6011342155009451,0.6666666666666666,0.49100026,0.44604778
44,resnet50,blur,2.0,0.3933333333333333,0.19246861924686193,0.5007363770250368,0.3049645390070922,0.45987502,0.45495135
44,resnet50,blur,4.0,0.2833333333333333,0.24299065420560748,0.3543913713405239,0.1391304347826087,0.47135144,0.50008154
44,resnet50,blur,8.0,0.4,0.1038961038961039,0.49544072948328266,0.4180064308681672,0.4471503,0.47270706
44,resnet50,mask_random,0.0,0.6883333333333334,0.6469002695417789,0.5994694960212201,0.7964601769911505,0.68474275,0.57695156
44,resnet50,mask_random,0.25,0.33666666666666667,0.009852216748768473,0.2832369942196532,0.46697388632872505,0.45745006,0.45335242
44,resnet50,mask_random,0.5,0.335,0.0,0.5012531328320802,0.009900990099009901,0.8037904,0.757674
44,resnet50,mask_random,0.75,0.345,0.0,0.5076142131979695,0.0660377358490566,0.6736204,0.6329511
44,resnet50,mask_centre,0.0,0.6883333333333334,0.6469002695417789,0.5994694960212201,0.7964601769911505,0.68474275,0.57695156
44,resnet50,mask_centre,0.3,0.6766666666666666,0.6076696165191741,0.5964912280701754,0.7965367965367965,0.59726506,0.50512224
44,resnet50,mask_centre,0.5,0.6366666666666667,0.44609665427509293,0.6232179226069247,0.7681818181818182,0.5009698,0.4497197
44,resnet50,mask_centre,0.7,0.4116666666666667,0.0,0.5266030013642565,0.4044943820224719,0.4578418,0.43595362
44,resnet50,mask_edge,1.0,0.6883333333333334,0.6469002695417789,0.5994694960212201,0.7964601769911505,0.68474275,0.57695156
44,resnet50,mask_edge,0.7,0.6633333333333333,0.5460526315789473,0.6297117516629712,0.7775280898876404,0.5368413,0.47718364
44,resnet50,mask_edge,0.5,0.475,0.18666666666666668,0.5492537313432836,0.5245901639344263,0.471996,0.44715333
44,resnet50,mask_edge,0.3,0.3333333333333333,0.0,0.5,0.0,0.57139754,0.5671719
44,vit_small_patch16_224,blur,0.0,0.7116666666666667,0.6411764705882353,0.6437346437346437,0.82560706401766,0.80336386,0.69967556
44,vit_small_patch16_224,blur,1.0,0.6883333333333334,0.6682464454976303,0.5697674418604651,0.8018433179723502,0.7968184,0.65905714
44,vit_small_patch16_224,blur,2.0,0.5533333333333333,0.5841584158415841,0.3166023166023166,0.6805970149253732,0.7826316,0.70354813
44,vit_small_patch16_224,blur,4.0,0.39,0.5068870523415978,0.24899598393574296,0.1688888888888889,0.7059415,0.6712875
44,vit_small_patch16_224,blur,8.0,0.3516666666666667,0.49017038007863695,0.19574468085106383,0.009900990099009901,0.5968991,0.60919493
44,vit_small_patch16_224,mask_random,0.0,0.7116666666666667,0.6411764705882353,0.6437346437346437,0.82560706401766,0.80336386,0.69967556
44,vit_small_patch16_224,mask_random,0.25,0.3333333333333333,0.5,0.0,0.0,0.75746053,0.7422013
44,vit_small_patch16_224,mask_random,0.5,0.3333333333333333,0.5,0.0,0.0,0.72254676,0.7206218
44,vit_small_patch16_224,mask_random,0.75,0.3333333333333333,0.5,0.0,0.0,0.7301395,0.73818946
44,vit_small_patch16_224,mask_centre,0.0,0.7116666666666667,0.6411764705882353,0.6437346437346437,0.82560706401766,0.80336386,0.69967556
44,vit_small_patch16_224,mask_centre,0.3,0.7016666666666667,0.6056782334384858,0.6487804878048781,0.8118393234672304,0.7743838,0.6855531
44,vit_small_patch16_224,mask_centre,0.5,0.6616666666666666,0.6256410256410256,0.5281899109792285,0.7864693446088795,0.70429444,0.5896853
44,vit_small_patch16_224,mask_centre,0.7,0.6483333333333333,0.6020942408376964,0.5,0.7883817427385892,0.7148951,0.6019439
44,vit_small_patch16_224,mask_edge,1.0,0.7116666666666667,0.6411764705882353,0.6437346437346437,0.82560706401766,0.80336386,0.69967556
44,vit_small_patch16_224,mask_edge,0.7,0.6716666666666666,0.5562913907284768,0.6414253897550112,0.779510022271715,0.7822974,0.7002165
44,vit_small_patch16_224,mask_edge,0.5,0.605,0.4968944099378882,0.5459057071960298,0.728421052631579,0.6458467,0.5437956
44,vit_small_patch16_224,mask_edge,0.3,0.4483333333333333,0.5104166666666666,0.16666666666666666,0.5555555555555556,0.46892697,0.4630009
