seed,model,mask_type,area_frac,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
45,vit_small_patch16_224,centre,0.6,0.49666666666666665,0.3643410852713178,0.5502318392581144,0.49491525423728816,0.67037624,0.6392257
45,vit_small_patch16_224,centre,0.7,0.43,0.23076923076923078,0.5275035260930888,0.3424124513618677,0.6748926,0.64687
45,vit_small_patch16_224,edge,0.0,0.6833333333333333,0.6284153005464481,0.6124401913875598,0.8028846153846154,0.68630624,0.59886956
45,vit_small_patch16_224,edge,0.05,0.6566666666666666,0.5757575757575758,0.6143790849673203,0.7688564476885644,0.7018882,0.61213726
45,vit_small_patch16_224,edge,0.1,0.6683333333333333,0.6079545454545454,0.6046511627906976,0.784688995215311,0.70792645,0.6117818
45,vit_small_patch16_224,edge,0.15,0.6866666666666666,0.6344086021505376,0.6080402010050251,0.8046511627906977,0.7142928,0.61861914
45,vit_small_patch16_224,edge,0.2,0.7033333333333334,0.6613756613756614,0.6217616580310881,0.8119266055045872,0.713117,0.6279598
45,vit_small_patch16_224,edge,0.3,0.67,0.6105263157894737,0.6128266033254157,0.7869674185463659,0.6896671,0.60089815
45,vit_small_patch16_224,edge,0.4,0.6383333333333333,0.6079295154185022,0.4879518072289157,0.7922705314009661,0.70370483,0.59516156
45,vit_small_patch16_224,edge,0.5,0.65,0.6160919540229886,0.5789473684210527,0.7584415584415585,0.67169917,0.5782368
45,vit_small_patch16_224,edge,0.6,0.5916666666666667,0.5902912621359223,0.45454545454545453,0.7211267605633803,0.6498114,0.56368464
45,vit_small_patch16_224,edge,0.7,0.5233333333333333,0.5432098765432098,0.5454545454545454,0.45255474452554745,0.63945353,0.55506
46,resnet50,centre,0.0,0.6766666666666666,0.6022099447513812,0.5829145728643216,0.8227272727272728,0.6363807,0.53978795
46,resnet50,centre,0.05,0.5966666666666667,0.14545454545454545,0.6136363636363636,0.7964601769911505,0.51865065,0.45500743
46,resnet50,centre,0.1,0.49,0.0,0.5627836611195158,0.6371681415929203,0.5190101,0.49290764
46,resnet50,centre,0.15,0.36833333333333335,0.0,0.5141388174807198,0.1891891891891892,0.5214877,0.5061563
46,resnet50,centre,0.2,0.39166666666666666,0.0,0.3,0.5361111111111111,0.54273635,0.5192942
46,resnet50,centre,0.3,0.34,0.0,0.49742268041237114,0.09821428571428571,0.52702063,0.52495027
46,resnet50,centre,0.4,0.3333333333333333,0.0,0.5,0.0,0.7529957,0.75156176
46,resnet50,centre,0.5,0.3283333333333333,0.0,0.0,0.49559748427672956,0.5190254,0.51863813
46,resnet50,centre,0.6,0.3333333333333333,0.0,0.0,0.5,0.8759781,0.87520117
46,resnet50,centre,0.7,0.3333333333333333,0.0,0.0,0.5,0.84763736,0.8494958
46,resnet50,edge,0.0,0.6766666666666666,0.6022099447513812,0.5829145728643216,0.8227272727272728,0.6363807,0.53978795
46,resnet50,edge,0.05,0.6766666666666666,0.6123595505617978,0.5951219512195122,0.8064516129032258,0.618558,0.5308138
46,resnet50,edge,0.1,0.6666666666666666,0.5938375350140056,0.587378640776699,0.802784222737819,0.6039688,0.5139438
46,resnet50,edge,0.15,0.6666666666666666,0.624,0.5792079207920792,0.7885985748218527,0.58884454,0.507412
46,resnet50,edge,0.2,0.66,0.6084656084656085,0.5664160401002506,0.7943262411347518,0.59606856,0.5109293
46,resnet50,edge,0.3,0.515,0.5808477237048666,0.0,0.6850828729281768,0.49697906,0.43799084
46,resnet50,edge,0.4,0.4266666666666667,0.5359116022099447,0.0,0.4492753623188406,0.48648065,0.46172068
46,resnet50,edge,0.5,0.39,0.5245033112582781,0.0660377358490566,0.24892703862660945,0.42700505,0.4054182
46,resnet50,edge,0.6,0.3333333333333333,0.0,0.5,0.0,0.5388161,0.53082645
46,resnet50,edge,0.7,0.3333333333333333,0.5,0.0,0.0,0.5971977,0.6058417
